Source,Target,Type
1,2,Directed
1,11,Directed
2,3,Directed
2,12,Directed
3,4,Directed
3,13,Directed
4,5,Directed
4,14,Directed
5,6,Directed
5,15,Directed
6,7,Directed
6,16,Directed
7,8,Directed
7,17,Directed
8,9,Directed
8,18,Directed
9,10,Directed
9,19,Directed
10,20,Directed
11,12,Directed
11,21,Directed
12,13,Directed
12,22,Directed
13,14,Directed
13,23,Directed
14,15,Directed
14,24,Directed
15,16,Directed
15,25,Directed
16,17,Directed
16,26,Directed
17,18,Directed
17,27,Directed
18,19,Directed
18,28,Directed
19,20,Directed
19,29,Directed
20,30,Directed
21,22,Directed
21,31,Directed
22,23,Directed
22,32,Directed
23,24,Directed
23,33,Directed
24,25,Directed
24,34,Directed
25,26,Directed
25,35,Directed
26,27,Directed
26,36,Directed
27,28,Directed
27,37,Directed
28,29,Directed
28,38,Directed
29,30,Directed
29,39,Directed
30,40,Directed
31,32,Directed
31,41,Directed
32,33,Directed
32,42,Directed
33,34,Directed
33,43,Directed
34,35,Directed
34,44,Directed
35,36,Directed
35,45,Directed
36,37,Directed
36,46,Directed
37,38,Directed
37,47,Directed
38,39,Directed
38,48,Directed
39,40,Directed
39,49,Directed
40,50,Directed
41,42,Directed
41,51,Directed
42,43,Directed
42,52,Directed
43,44,Directed
43,53,Directed
44,45,Directed
44,54,Directed
45,46,Directed
45,55,Directed
46,47,Directed
46,56,Directed
47,48,Directed
47,57,Directed
48,49,Directed
48,58,Directed
49,50,Directed
49,59,Directed
50,60,Directed
51,52,Directed
51,61,Directed
52,53,Directed
52,62,Directed
53,54,Directed
53,63,Directed
54,55,Directed
54,64,Directed
55,56,Directed
55,65,Directed
56,57,Directed
56,66,Directed
57,58,Directed
57,67,Directed
58,59,Directed
58,68,Directed
59,60,Directed
59,69,Directed
60,70,Directed
61,62,Directed
61,71,Directed
62,63,Directed
62,72,Directed
63,64,Directed
63,73,Directed
64,65,Directed
64,74,Directed
65,66,Directed
65,75,Directed
66,67,Directed
66,76,Directed
67,68,Directed
67,77,Directed
68,69,Directed
68,78,Directed
69,70,Directed
69,79,Directed
70,80,Directed
71,72,Directed
71,81,Directed
72,73,Directed
72,82,Directed
73,74,Directed
73,83,Directed
74,75,Directed
74,84,Directed
75,76,Directed
75,85,Directed
76,77,Directed
76,86,Directed
77,78,Directed
77,87,Directed
78,79,Directed
78,88,Directed
79,80,Directed
79,89,Directed
80,90,Directed
81,82,Directed
81,91,Directed
82,83,Directed
82,92,Directed
83,84,Directed
83,93,Directed
84,85,Directed
84,94,Directed
85,86,Directed
85,95,Directed
86,87,Directed
86,96,Directed
87,88,Directed
87,97,Directed
88,89,Directed
88,98,Directed
89,90,Directed
89,99,Directed
90,100,Directed
91,92,Directed
92,93,Directed
93,94,Directed
94,95,Directed
95,96,Directed
96,97,Directed
97,98,Directed
98,99,Directed
99,100,Directed
