Source,Target,Type
1,1,Directed
1,3,Directed
1,5,Directed
1,7,Directed
1,11,Directed
1,12,Directed
1,13,Directed
1,14,Directed
1,20,Directed
1,21,Directed
1,22,Directed
1,29,Directed
1,31,Directed
1,32,Directed
1,33,Directed
1,35,Directed
1,37,Directed
1,41,Directed
1,43,Directed
1,46,Directed
1,47,Directed
1,48,Directed
1,50,Directed
1,56,Directed
1,57,Directed
1,59,Directed
1,62,Directed
1,66,Directed
1,67,Directed
1,68,Directed
1,70,Directed
1,72,Directed
1,73,Directed
1,76,Directed
1,77,Directed
1,78,Directed
1,79,Directed
1,81,Directed
1,83,Directed
1,86,Directed
1,89,Directed
1,90,Directed
1,91,Directed
1,94,Directed
1,95,Directed
1,97,Directed
1,98,Directed
2,2,Directed
2,3,Directed
2,6,Directed
2,8,Directed
2,9,Directed
2,13,Directed
2,15,Directed
2,17,Directed
2,18,Directed
2,19,Directed
2,26,Directed
2,27,Directed
2,30,Directed
2,31,Directed
2,34,Directed
2,35,Directed
2,36,Directed
2,37,Directed
2,38,Directed
2,43,Directed
2,44,Directed
2,48,Directed
2,49,Directed
2,51,Directed
2,52,Directed
2,53,Directed
2,54,Directed
2,55,Directed
2,58,Directed
2,60,Directed
2,61,Directed
2,63,Directed
2,65,Directed
2,66,Directed
2,67,Directed
2,69,Directed
2,73,Directed
2,75,Directed
2,77,Directed
2,79,Directed
2,80,Directed
2,81,Directed
2,82,Directed
2,85,Directed
2,88,Directed
2,94,Directed
2,96,Directed
3,1,Directed
3,2,Directed
3,3,Directed
3,10,Directed
3,12,Directed
3,13,Directed
3,17,Directed
3,20,Directed
3,23,Directed
3,25,Directed
3,26,Directed
3,30,Directed
3,34,Directed
3,35,Directed
3,37,Directed
3,38,Directed
3,43,Directed
3,44,Directed
3,46,Directed
3,48,Directed
3,50,Directed
3,51,Directed
3,54,Directed
3,55,Directed
3,56,Directed
3,57,Directed
3,59,Directed
3,60,Directed
3,63,Directed
3,65,Directed
3,66,Directed
3,67,Directed
3,68,Directed
3,69,Directed
3,70,Directed
3,72,Directed
3,73,Directed
3,75,Directed
3,76,Directed
3,77,Directed
3,79,Directed
3,81,Directed
3,83,Directed
3,87,Directed
3,88,Directed
3,89,Directed
3,90,Directed
