Source,Target,Type
1,2
2,3
3,1
4,3,Directed
4,1,Directed
5,2,Directed
5,3,Directed
6,2,Directed
6,3,Directed
7,5,Directed
7,3,Directed
8,2,Directed
8,3,Directed
9,8,Directed
9,2,Directed
10,3,Directed
10,1,Directed
11,7,Directed
11,5,Directed
12,9,Directed
12,2,Directed
13,8,Directed
13,3,Directed
14,8,Directed
14,3,Directed
15,13,Directed
15,3,Directed
16,15,Directed
16,3,Directed
17,9,Directed
17,2,Directed
18,12,Directed
18,2,Directed
19,14,Directed
19,3,Directed
20,5,Directed
20,2,Directed
21,16,Directed
21,3,Directed
22,10,Directed
22,1,Directed
23,2,Directed
23,3,Directed
24,9,Directed
24,8,Directed
25,16,Directed
25,15,Directed
26,17,Directed
26,9,Directed
27,7,Directed
27,3,Directed
28,20,Directed
28,2,Directed
29,11,Directed
29,5,Directed
30,7,Directed
30,3,Directed
31,9,Directed
31,2,Directed
32,7,Directed
32,5,Directed
33,26,Directed
33,9,Directed
34,31,Directed
34,2,Directed
35,6,Directed
35,3,Directed
36,6,Directed
36,2,Directed
37,19,Directed
37,14,Directed
38,35,Directed
38,3,Directed
39,28,Directed
39,20,Directed
40,16,Directed
40,3,Directed
41,34,Directed
41,31,Directed
42,7,Directed
42,3,Directed
43,41,Directed
43,34,Directed
44,18,Directed
44,2,Directed
45,19,Directed
45,14,Directed
46,27,Directed
46,7,Directed
47,41,Directed
47,34,Directed
48,30,Directed
48,7,Directed
49,20,Directed
49,2,Directed
50,45,Directed
50,19,Directed
51,32,Directed
51,7,Directed
52,49,Directed
52,20,Directed
53,27,Directed
53,3,Directed
54,53,Directed
54,27,Directed
55,12,Directed
55,2,Directed
56,13,Directed
56,8,Directed
57,37,Directed
57,14,Directed
58,8,Directed
58,2,Directed
59,38,Directed
59,3,Directed
60,42,Directed
60,3,Directed
61,25,Directed
61,16,Directed
62,41,Directed
62,31,Directed
63,5,Directed
63,2,Directed
64,50,Directed
64,45,Directed
65,55,Directed
65,12,Directed
66,22,Directed
66,1,Directed
67,42,Directed
67,7,Directed
68,51,Directed
68,32,Directed
69,4,Directed
69,3,Directed
70,9,Directed
70,8,Directed
71,38,Directed
71,3,Directed
72,27,Directed
72,3,Directed
73,37,Directed
73,19,Directed
74,68,Directed
74,32,Directed
75,65,Directed
75,12,Directed
76,59,Directed
76,38,Directed
77,72,Directed
77,3,Directed
78,72,Directed
78,27,Directed
79,70,Directed
79,9,Directed
80,76,Directed
80,38,Directed
81,53,Directed
81,3,Directed
82,66,Directed
82,22,Directed
83,52,Directed
83,49,Directed
84,11,Directed
84,7,Directed
85,15,Directed
85,13,Directed
86,34,Directed
86,2,Directed
87,67,Directed
87,7,Directed
88,67,Directed
88,7,Directed
89,67,Directed
89,7,Directed
90,48,Directed
90,7,Directed
91,39,Directed
91,20,Directed
92,5,Directed
92,3,Directed
93,90,Directed
93,48,Directed
94,80,Directed
94,76,Directed
95,9,Directed
95,2,Directed
96,94,Directed
96,76,Directed
97,35,Directed
97,3,Directed
98,28,Directed
98,20,Directed
99,74,Directed
99,68,Directed
100,54,Directed
100,53,Directed
