Source,Target,Type
1,2,Directed
1,11,Directed
2,3,Directed
2,12,Directed
3,4,Directed
3,13,Directed
4,5,Directed
4,14,Directed
5,6,Directed
5,15,Directed
6,7,Directed
6,16,Directed
7,8,Directed
7,17,Directed
8,9,Directed
8,18,Directed
9,10,Directed
9,19,Directed
10,20,Directed
11,12,Directed
11,21,Directed
12,13,Directed
12,22,Directed
13,14,Directed
13,23,Directed
14,15,Directed
14,24,Directed
15,16,Directed
15,25,Directed
16,17,Directed
16,26,Directed
17,18,Directed
17,27,Directed
18,19,Directed
18,28,Directed
19,20,Directed
19,29,Directed
20,30,Directed
21,22,Directed
22,23,Directed
23,24,Directed
24,25,Directed
25,26,Directed
26,27,Directed
27,28,Directed
28,29,Directed
29,30,Directed
