Source,Target,Type
33,85,Directed
20,30,Directed
95,81,Directed
24,69,Directed
17,69,Directed
84,36,Directed
94,76,Directed
12,30,Directed
11,37,Directed
99,56,Directed
77,24,Directed
35,42,Directed
71,25,Directed
85,63,Directed
59,36,Directed
15,41,Directed
20,31,Directed
53,62,Directed
88,67,Directed
76,66,Directed
78,36,Directed
66,94,Directed
41,54,Directed
41,16,Directed
30,72,Directed
65,45,Directed
62,48,Directed
30,71,Directed
62,97,Directed
45,31,Directed
89,51,Directed
78,23,Directed
28,95,Directed
52,78,Directed
85,95,Directed
82,83,Directed
18,86,Directed
56,43,Directed
2,97,Directed
92,36,Directed
28,61,Directed
73,41,Directed
56,42,Directed
44,87,Directed
55,36,Directed
28,20,Directed
16,64,Directed
65,46,Directed
53,86,Directed
41,38,Directed
70,62,Directed
69,32,Directed
87,61,Directed
36,58,Directed
53,82,Directed
88,36,Directed
80,76,Directed
37,11,Directed
71,53,Directed
86,58,Directed
4,36,Directed
100,11,Directed
47,99,Directed
13,96,Directed
23,100,Directed
87,47,Directed
55,56,Directed
65,54,Directed
57,35,Directed
19,89,Directed
86,45,Directed
80,84,Directed
16,35,Directed
12,8,Directed
99,62,Directed
56,87,Directed
96,55,Directed
1,56,Directed
7,45,Directed
1,57,Directed
2,87,Directed
28,29,Directed
66,23,Directed
42,8,Directed
94,71,Directed
81,43,Directed
45,19,Directed
93,55,Directed
7,81,Directed
35,97,Directed
4,96,Directed
15,7,Directed
73,27,Directed
41,86,Directed
91,85,Directed
90,88,Directed
70,32,Directed
41,42,Directed
48,60,Directed
85,43,Directed
38,89,Directed
36,72,Directed
40,54,Directed
76,99,Directed
97,25,Directed
61,44,Directed
23,64,Directed
22,55,Directed
7,77,Directed
21,17,Directed
17,51,Directed
67,40,Directed
69,37,Directed
47,49,Directed
37,26,Directed
49,63,Directed
2,17,Directed
14,15,Directed
14,49,Directed
60,75,Directed
52,34,Directed
66,97,Directed
30,20,Directed
77,72,Directed
38,30,Directed
37,95,Directed
84,82,Directed
19,27,Directed
75,83,Directed
20,19,Directed
80,45,Directed
70,96,Directed
62,37,Directed
94,75,Directed
37,76,Directed
69,2,Directed
80,52,Directed
10,31,Directed
6,83,Directed
20,69,Directed
88,84,Directed
34,95,Directed
23,40,Directed
12,31,Directed
51,52,Directed
69,34,Directed
99,85,Directed
76,95,Directed
60,67,Directed
9,72,Directed
2,70,Directed
84,58,Directed
94,47,Directed
47,20,Directed
21,87,Directed
97,18,Directed
18,53,Directed
19,57,Directed
56,18,Directed
82,57,Directed
21,38,Directed
10,94,Directed
9,90,Directed
66,86,Directed
27,35,Directed
98,15,Directed
93,22,Directed
77,30,Directed
77,54,Directed
14,47,Directed
11,90,Directed
62,51,Directed
42,50,Directed
69,74,Directed
13,40,Directed
68,2,Directed
72,52,Directed
84,87,Directed
39,99,Directed
44,58,Directed
80,91,Directed
74,77,Directed
12,98,Directed
61,87,Directed
57,90,Directed
87,20,Directed
11,65,Directed
41,99,Directed
6,43,Directed
3,29,Directed
18,43,Directed
54,84,Directed
94,46,Directed
74,54,Directed
7,18,Directed
77,10,Directed
46,78,Directed
68,6,Directed
56,15,Directed
56,94,Directed
45,54,Directed
58,27,Directed
81,97,Directed
18,34,Directed
28,99,Directed
89,97,Directed
10,23,Directed
91,75,Directed
64,92,Directed
48,31,Directed
47,19,Directed
19,97,Directed
27,70,Directed
75,9,Directed
90,9,Directed
63,37,Directed
51,99,Directed
61,81,Directed
60,71,Directed
7,49,Directed
28,40,Directed
64,28,Directed
12,46,Directed
45,46,Directed
3,24,Directed
97,75,Directed
33,67,Directed
4,73,Directed
52,94,Directed
52,53,Directed
89,18,Directed
3,47,Directed
3,1,Directed
12,96,Directed
89,93,Directed
63,75,Directed
46,81,Directed
63,58,Directed
97,26,Directed
94,64,Directed
7,91,Directed
54,47,Directed
14,23,Directed
54,13,Directed
60,45,Directed
65,42,Directed
