Source,Target,Type
304,18,Directed
492,348,Directed
387,451,Directed
178,479,Directed
100,243,Directed
6,262,Directed
443,260,Directed
55,176,Directed
383,187,Directed
218,221,Directed
93,183,Directed
435,79,Directed
122,166,Directed
181,159,Directed
145,411,Directed
325,489,Directed
377,247,Directed
367,12,Directed
141,338,Directed
190,277,Directed
328,257,Directed
26,366,Directed
94,375,Directed
318,193,Directed
187,136,Directed
362,197,Directed
339,397,Directed
179,449,Directed
339,195,Directed
177,286,Directed
330,428,Directed
205,135,Directed
318,464,Directed
257,85,Directed
160,147,Directed
359,387,Directed
206,269,Directed
413,461,Directed
211,2,Directed
182,94,Directed
47,132,Directed
84,4,Directed
172,325,Directed
318,64,Directed
240,315,Directed
266,8,Directed
424,301,Directed
53,320,Directed
407,377,Directed
387,43,Directed
149,105,Directed
271,403,Directed
366,409,Directed
296,491,Directed
1,150,Directed
147,83,Directed
230,471,Directed
121,406,Directed
302,204,Directed
27,309,Directed
301,394,Directed
422,476,Directed
174,374,Directed
187,433,Directed
256,459,Directed
312,214,Directed
240,88,Directed
231,188,Directed
276,77,Directed
355,146,Directed
251,116,Directed
122,178,Directed
357,275,Directed
237,405,Directed
494,373,Directed
488,8,Directed
182,409,Directed
293,51,Directed
478,71,Directed
130,202,Directed
392,30,Directed
221,148,Directed
277,45,Directed
345,186,Directed
182,46,Directed
390,183,Directed
231,99,Directed
208,304,Directed
278,435,Directed
113,118,Directed
374,420,Directed
323,424,Directed
490,144,Directed
428,123,Directed
65,171,Directed
160,345,Directed
201,42,Directed
485,125,Directed
48,97,Directed
170,4,Directed
425,369,Directed
461,193,Directed
483,108,Directed
287,498,Directed
79,283,Directed
225,492,Directed
249,178,Directed
260,14,Directed
140,350,Directed
190,461,Directed
385,495,Directed
13,484,Directed
297,455,Directed
23,95,Directed
263,481,Directed
125,113,Directed
63,14,Directed
225,340,Directed
59,163,Directed
100,379,Directed
358,293,Directed
242,430,Directed
81,391,Directed
218,96,Directed
154,208,Directed
61,1,Directed
211,396,Directed
237,23,Directed
47,338,Directed
96,22,Directed
499,152,Directed
500,223,Directed
316,89,Directed
182,101,Directed
167,75,Directed
390,163,Directed
202,418,Directed
41,299,Directed
216,385,Directed
256,160,Directed
356,320,Directed
43,53,Directed
3,256,Directed
299,466,Directed
300,60,Directed
244,210,Directed
383,321,Directed
157,133,Directed
204,291,Directed
267,315,Directed
397,233,Directed
378,94,Directed
140,348,Directed
424,314,Directed
7,496,Directed
483,107,Directed
392,246,Directed
306,148,Directed
389,136,Directed
37,429,Directed
227,106,Directed
450,474,Directed
4,45,Directed
187,300,Directed
124,63,Directed
114,366,Directed
106,114,Directed
70,18,Directed
170,449,Directed
233,125,Directed
134,97,Directed
39,310,Directed
100,26,Directed
287,494,Directed
275,324,Directed
465,127,Directed
225,144,Directed
390,493,Directed
75,156,Directed
294,392,Directed
348,459,Directed
37,394,Directed
317,310,Directed
39,187,Directed
398,402,Directed
361,193,Directed
361,19,Directed
243,329,Directed
216,221,Directed
416,44,Directed
364,463,Directed
297,488,Directed
84,130,Directed
164,35,Directed
389,65,Directed
156,397,Directed
419,470,Directed
315,475,Directed
497,228,Directed
46,417,Directed
289,187,Directed
125,39,Directed
111,295,Directed
355,390,Directed
9,147,Directed
33,301,Directed
132,484,Directed
288,193,Directed
233,466,Directed
190,486,Directed
338,135,Directed
256,178,Directed
14,322,Directed
39,51,Directed
89,64,Directed
355,29,Directed
386,130,Directed
273,318,Directed
485,385,Directed
479,445,Directed
475,490,Directed
49,142,Directed
105,394,Directed
304,107,Directed
439,307,Directed
317,493,Directed
202,103,Directed
214,222,Directed
39,61,Directed
121,399,Directed
69,9,Directed
1,494,Directed
73,430,Directed
177,41,Directed
398,38,Directed
116,235,Directed
495,182,Directed
8,243,Directed
16,68,Directed
135,155,Directed
431,483,Directed
476,84,Directed
389,195,Directed
285,300,Directed
299,241,Directed
4,190,Directed
117,494,Directed
241,480,Directed
263,329,Directed
275,4,Directed
9,326,Directed
425,138,Directed
311,447,Directed
