Source,Target,Type
22,30,Directed
24,28,Directed
2,4,Directed
7,5,Directed
30,10,Directed
28,2,Directed
13,27,Directed
3,20,Directed
9,15,Directed
7,19,Directed
24,19,Directed
15,6,Directed
14,16,Directed
1,7,Directed
3,10,Directed
10,5,Directed
21,23,Directed
24,3,Directed
26,8,Directed
24,27,Directed
12,9,Directed
13,19,Directed
22,27,Directed
4,20,Directed
1,8,Directed
11,26,Directed
3,16,Directed
25,11,Directed
24,29,Directed
7,18,Directed
6,4,Directed
16,24,Directed
12,27,Directed
25,27,Directed
21,10,Directed
30,21,Directed
1,26,Directed
2,10,Directed
18,15,Directed
2,9,Directed
29,5,Directed
28,29,Directed
24,8,Directed
7,11,Directed
27,26,Directed
11,19,Directed
20,13,Directed
24,12,Directed
9,21,Directed
