Source,Target,Type
1,1,Directed
2,2,Directed
2,27,Directed
3,3,Directed
4,4,Directed
5,5,Directed
5,18,Directed
6,6,Directed
7,7,Directed
7,8,Directed
8,7,Directed
8,8,Directed
9,9,Directed
10,10,Directed
11,11,Directed
12,12,Directed
13,13,Directed
14,14,Directed
14,20,Directed
15,15,Directed
15,21,Directed
16,16,Directed
17,17,Directed
18,5,Directed
18,18,Directed
19,19,Directed
20,14,Directed
20,20,Directed
21,15,Directed
21,21,Directed
22,22,Directed
23,23,Directed
24,24,Directed
24,29,Directed
25,25,Directed
26,26,Directed
27,2,Directed
27,27,Directed
28,28,Directed
29,24,Directed
29,29,Directed
